"Designator","Comment","Footprint","Quantity","LCSC Part Number"
"U1","FE1.1s","SSOP-28","1","C2688765"
"U2","CP2102N-A01-GQFN28","QFN-28","1","C6568"
"U3","CM108AH","SSOP-28","1","C7509"
"U4","AMS1117-3.3","SOT-223","1","C6186"
"Q1","2N2222A","TO-92","1","C118536"
"Q2","2N2222A","TO-92","1","C118536"
"D1","1N4148","DO-35","1","C14516"
"D2","1N5819","DO-41","1","C2480"
"J1","USB-C Receptacle","SMD","1","C168688"
"J2","RJ-45 Jack","TH","1","C386756"
"J3","RJ-45 Jack","TH","1","C386756"
"J4","3.5mm TRS Jack","TH","1","C145822"
"J5","Pin Header 2x5","TH","1",""
"K1","G5V-1-DC5","TH","1","C100024"
"Y1","12MHz Crystal","HC-49S","1","C32180"
"R1","10k","0805","1",""
"R2","10k","0805","1",""
"R3","10k","0805","1",""
"R4","1k","0805","1",""
"R5","10k","0805","1",""
"R6","1k","0805","1",""
"R7","330","0805","1",""
"R8","330","0805","1",""
"R9","330","0805","1",""
"R10","330","0805","1",""
"R11","4.7k","0805","1",""
"R12","1.5k","0805","1",""
"R13","5.1k","0805","1",""
"R14","5.1k","0805","1",""
"R15","10k","0805","1",""
"C1","100nF","0805","1",""
"C2","10uF","0805","1",""
"C3","100nF","0805","1",""
"C4","10uF","0805","1",""
"C5","100nF","0805","1",""
"C6","10uF","0805","1",""
"C7","10uF","0805","1",""
"C8","22uF","0805","1",""
"C9","1uF","0805","1",""
"C10","1uF","0805","1",""
"C11","22pF","0805","1",""
"C12","22pF","0805","1",""
"C13","4.7uF","0805","1",""
"C14","100nF","0805","1",""
"LED1","Green","0805","1","C2297"
"LED2","Red","0805","1","C84256"
"LED3","Yellow","0805","1","C2296"
"LED4","Blue","0805","1","C72041"
"F1","500mA Polyfuse","1206","1","C70069"
